,en,es,fr,ru,ar,hi,zh-Hans,ja,ta,tr,ko
RS,4.878181644170187,4.916350269703946,4.937987000382719,5.39450160680109,4.5502940848471685,4.745387495151817,11.436522286498285,9.094912585178607,4.804693826684755,4.859763820094852,8.532849039812099
GL,4.574023070207201,4.306208669443024,4.645916647066509,4.958976338148985,4.497234549031486,5.222873228674688,11.917861033306153,7.902706358691795,4.542542875899974,4.988498526185862,9.576801882329603
KE,5.424901627853773,5.289760999399916,6.055091997397165,5.274813088784484,4.103172046315082,4.411308962481998,11.855178025922044,9.687672698110044,4.753956997746465,4.780051549061799,11.934956178893604
KM,4.795028898008858,4.599508243996043,4.710538104859562,5.179960724147523,4.975737815764472,4.769083277033608,11.56935870062174,9.65083304336965,5.640344375855144,4.933382615755302,8.369569190157621
CX,4.8481677085852635,5.298766049285182,5.83267046303789,5.372437260425418,4.99491025576971,5.037116931833999,13.692943368402306,8.798577992816407,5.2163279955599045,5.441376389044415,9.217433102157543
VG,5.056394859949681,5.319574127683467,5.215069898887602,5.353057505114731,4.870443893842583,5.423065621613238,11.474647253124502,10.966068022348008,4.972221474550175,5.234637742218764,9.209943607135484
VE,5.36247902786233,4.868078983446463,5.054415850250214,5.190572359843089,4.426033063466538,5.461870945489421,10.995498636698857,9.975264870785727,5.0435687581821895,4.883727397548257,10.173689287156881
GU,6.056532405089423,5.7865394276282345,5.866445906851545,6.187459643789023,4.77739313576455,6.201071470321464,11.814118747415726,9.073040278633819,4.125947618986715,5.671661526176024,17.88116327693444
SH,5.22624787469063,4.844914401603265,5.509479804620028,6.302161448427814,4.308719126196524,4.860490165585173,12.626593003563158,9.449825386853801,5.732414633099755,4.996939925555709,9.460844448279047
BT,4.999927703447818,6.183346654818697,5.238599347994503,5.462970599057284,4.188104625330577,5.845750078333675,10.327663093683919,7.955773489062078,4.92640577574194,4.936691595621025,9.265059580338194
PM,5.779952035886277,5.601762675503093,5.15526399463088,5.668439364426709,4.539249678789773,5.259772829320799,11.439992281968312,9.07562947344876,5.4201258859376145,5.77624614910741,10.140240230669246
GD,4.727543839617804,4.511474413928389,4.606240903221985,5.001435787611556,4.455312323661556,4.709716206521266,11.172144604166261,9.75217570221083,4.824383936365728,4.507591746487774,7.84715058142322
SK,5.206927308599606,4.872499199918218,5.069381522138409,4.961962792722544,4.166243349424153,4.716559494706848,11.260771488030747,8.87519969542638,5.195283432670226,5.0987602113958745,9.399608240399626
WS,4.968156863389025,4.811065043402496,5.2233188077345885,4.935198746907442,3.8472583615035227,5.582226480485959,12.389800722793012,9.48032645926124,5.498610967121239,5.115627221525207,7.722302451421946
GM,5.482492794385102,5.351857160708349,5.510796537031769,5.826593406595625,4.381834758301034,4.91129031321871,12.43750642924818,9.106410475071634,4.294651194462985,5.048881933114428,8.40022376352792
BB,4.945406414490352,4.838380646672805,5.082053562853354,5.089558952171476,4.549818525793457,5.003302843198571,9.875225198836057,8.68333319671,4.703089797464269,4.894643868721833,8.146980170279065
MU,4.731251523392844,4.640650600125582,4.682479919380993,5.1328291675499385,4.589575334324573,5.651275194913524,10.62378380873702,8.62342236646949,5.279956003272032,4.816762801337099,9.488777059296233
