tokenizer,locale,n,spearman_r,spearman_p,kendall_tau,kendall_p,spearman_p_corrected,significant_corrected
gpt4o,en,249,0.31606233928299843,3.516053438696244e-07,0.22170959818947727,3.990624928553e-07,6.925559803492602e-07,True
gpt4o,es,249,0.3654935918733247,2.7588777048026764e-09,0.25686234560005605,4.697876844688478e-09,6.897194262006691e-09,True
gpt4o,fr,249,0.3826203496153439,4.195368988647996e-10,0.26474247213556706,1.4918779027920747e-09,1.1362457677588322e-09,True
gpt4o,ru,249,0.4321641026969643,9.41548606373003e-13,0.306832920100185,3.9777948425392725e-12,6.12006594142452e-12,True
gpt4o,ar,249,0.22736005993812597,0.0002979055271342436,0.1593079547145056,0.000346906124453815,0.0004209534622549094,True
gpt4o,hi,249,0.1200513150273412,0.05853190660622419,0.08230536738877242,0.06272496789649638,0.061364095635557614,False
gpt4o,zh-Hans,249,0.494474323394994,9.27657208384202e-17,0.4026400680143409,2.1144441887527861e-16,1.2242806864846872e-15,True
gpt4o,ja,249,0.4368207328508136,5.03295174982933e-13,0.32997141636237826,5.715963546722171e-13,3.63490959709896e-12,True
gpt4o,ta,249,0.2815249265691817,6.433468144541816e-06,0.19372525247203026,9.449709426937247e-06,1.0722446907569692e-05,True
gpt4o,tr,249,0.1858978258160969,0.0032361720513987163,0.12600993323482584,0.004086664435293842,0.004207023666818331,True
gpt4o,ko,249,0.42162694657575117,3.751625676586173e-12,0.33119538436943285,3.4967539221950046e-12,2.03213057481751e-11,True
gpt4,en,249,0.24993381973408238,6.676981485211155e-05,0.17176034256727787,8.395359071945005e-05,0.00010093111547412211,True
gpt4,es,249,0.3958556203398557,9.06501124521536e-11,0.2797122282568558,1.758270951158305e-10,2.8058368139952304e-10,True
gpt4,fr,249,0.32027252379084037,2.403369712153191e-07,0.2230652644130448,3.4240911491731516e-07,5.039323589998626e-07,True
gpt4,ru,249,0.40428931637136195,3.293875738492099e-11,0.2909881531583701,3.142541694256189e-11,1.1894551277888136e-10,True
gpt4,ar,249,0.06613437840699957,0.298586061072515,0.049629383477860244,0.25969804649936734,0.303251468276773,False
gpt4,hi,249,0.49138352258553125,1.5343159793578147e-16,0.35836248337663307,4.3854854982145106e-16,1.6621756443042991e-15,True
