ISO Code,Country Name,Mean CLOUS,Script Families,Mean Fertility (mBERT),Mean Fertility (GPT-4o),Δ Fertility
GU,Guam,7.586,Mixed,0.63,0.77,-0.14
IM,Isle of Man,7.562,Mixed,0.56,0.62,-0.06
NF,Norfolk Island,7.488,Mixed,0.49,0.65,-0.16
CD,"Congo, The Democratic Republic of the",7.451,Mixed,0.54,0.56,-0.02
HK,Hong Kong,7.429,Mixed,0.55,0.46,0.09
CG,Congo,7.428,Mixed,0.52,0.54,-0.02
MM,Myanmar,7.407,Mixed,0.54,0.64,-0.1
FJ,Fiji,7.341,Mixed,0.64,0.75,-0.11
KP,"Korea, Democratic People's Republic of",7.225,Mixed,0.52,0.58,-0.06
VI,"Virgin Islands, U.S.",7.212,Mixed,0.51,0.53,-0.03
CK,Cook Islands,7.128,Mixed,0.49,0.56,-0.07
CI,Côte d'Ivoire,7.125,Mixed,0.58,0.6,-0.03
MO,Macao,7.121,Mixed,0.57,0.5,0.07
BV,Bouvet Island,7.12,Mixed,0.57,0.66,-0.09
ZW,Zimbabwe,7.076,Mixed,0.59,0.61,-0.02
